,city,postal_code,hospital_name,health_authority
0,ABBOTSFORD ,V2S 0C2,Abbotsford Regional Hospital and Cancer Centre,Fraser Health Authority
1,ALERT BAY ,V0N 1A0,Cormorant Island Community Health Centre,Vancouver Island Health Authority
2,ASHCROFT ,V0K 1A0,Ashcroft and District General Hospital,Interior Health Authority
3,BELLA  BELLA ,V0T 1Z0,R.W. Large Memorial Hospital,Vancouver Coastal Health Authority
4,BELLA COOLA ,V0T 1C0,Bella Coola General Hospital,Vancouver Coastal Health Authority
5,BURNABY ,V5G 2X6,Burnaby Hospital,Fraser Health Authority
6,BURNS LAKE ,V0J 1E0,Lakes District Hospital and Health Centre,Northern Health Authority
7, CAMPBELL RIVER ,V9W 3V1, North Island Hospital,Vancouver Island Health Authority
8,CASTLEGAR ,V1N 2H7, Castlegar and District Community Health Centre,Interior Health Authority
9,CHEMAINUS ,V0R 1K1, Chemainus Health Care Centre,Vancouver Island Health Authority
10,CHETWYND B,V0C 1J0, Chetwynd General Hospital,Northern Health Authority
11,CHILLIWACK ,V2P 1P7, Chilliwack General Hospital,Fraser Health Authority
12,CLEARWATER RR,V0E 1N0, Dr. Helmcken Memorial Hospital,Interior Health Authority
13,COMOX ,V9M 1P2,St. Joseph’s General Hospital,Officer Island Health Authority
14,COURTENAY ,V9N 0B8, North Island Hospital,Vancouver Island Health Authority
15, CRANBROOK ,V1C 3H9, East Kootenay Regional Hospital,Interior Health Authority
16,CRESTON ,V0B 1G0, Creston Valley Hospital,Interior Health Authority
17,DAWSON CREEK ,V1G 3W8, Dawson Creek and District Hospital,Northern Health Authority
18,DELTA ,V4K 3V6, Delta Hospital,Fraser Health Authority
19,DUNCAN ,V9L 1E5, Cowichan District Hospital,Vancouver Island Health Authority
20,FERNIE ,V0B 1M0, Elk Valley Hospital,Interior Health Authority
21,FORT NELSON B,V0C 1R0, Fort Nelson General Hospital,Northern Health Authority
22, FORT ST,V0J 1P0, Stuart Lake Hospital,Northern Health Authority
23,FORT ST,V1J 0J5, Fort St. John General Hospital,Northern Health Authority
24,GOLDEN ,V0A 1H0, Golden and District General Hospital,Interior Health Authority
25,GRAND FORKS ,V0H 1H0, Boundary Hospital,Interior Health Authority
26,HAZELTON PO B,V0J 1Y0, Wrinch Memorial Hospital,Northern Health Authority
27,HOPE ,V0X 1L4, Fraser Canyon Hospital,Fraser Health Authority
28,INVERMERE ,V0A 1K0, Invermere and District Hospital,Interior Health Authority
29,KAMLOOPS ,V2C 2T1, Royal Inland Hospital,Interior Health Authority
30, KASLO ,V0G 1M0, Victorian Community Health Centre,Interior Health Authority
31,KELOWNA ,V1Y 1T2, Kelowna General Hospital,Interior Health Authority
32,KITIMAT ,V8C 2S3, Kitimat General Hospital,Northern Health Authority
